id,name,price,description,speed,engine_type,build,weight,material,engine_l,hp,history,image_url
71,Ferrari SF90 XX Spider,"$1,175,888 AUD","The Ferrari SF90 XX Spider is the convertible version of the SF90 XX Stradale, offering the same track-focused performance with the added thrill of open-top driving.",2.3s,V8 Hybrid,Convertible,1.57 tonnes,Carbon Fiber,4.0L,986hp,"The Ferrari SF90 XX Spider takes the extreme performance of the SF90 XX Stradale and adds the exhilaration of open-air driving. This limited-edition model features the same hybrid powertrain and performance upgrades as the Stradale, but with a retractable hardtop that allows drivers to enjoy the experience with the roof down. The SF90 XX Spider is designed for those who want the ultimate Ferrari driving experience, combining track-level performance with the freedom of open-top motoring. This model represents the pinnacle of Ferrari's hybrid technology and engineering, offering an unparalleled driving experience.",sf90_xx_spider.jpg
83,Ferrari 812 Competizione,"$818,888 AUD","The Ferrari 812 Competizione is a limited-edition, track-focused variant of the 812 Superfast. It delivers extreme performance and features several enhancements for improved aerodynamics and handling.",2.8s,V12,Coupe,1.63 tonnes,Aluminum,6.5L,819hp,"Launched in 2021, the Ferrari 812 Competizione represents the pinnacle of Ferrari’s front-engine V12 technology. This model is a hardcore, track-oriented version of the 812 Superfast, designed for maximum performance and driver engagement. The 812 Competizione is powered by a naturally aspirated 6.5-liter V12 engine that produces 819 horsepower, making it one of the most powerful V12s Ferrari has ever produced. The car features extensive aerodynamic modifications, including a redesigned front fascia, rear diffuser, and innovative “aero bridge” elements that enhance downforce and stability. The 812 Competizione also benefits from Ferrari’s advanced electronic systems, including rear-wheel steering and Side Slip Control, which improve handling and agility on the track. This model is a celebration of Ferrari’s V12 heritage and a testament to the brand’s commitment to pushing the boundaries of performance.",812_competizione.jpg
84,Ferrari 812 Competizione A,"$889,888 AUD","The Ferrari 812 Competizione A is the open-top version of the 812 Competizione, offering the same extreme performance with the added thrill of open-air driving.",2.8s,V12,Convertible,1.64 tonnes,Aluminum,6.5L,819hp,"Unveiled alongside the 812 Competizione in 2021, the Ferrari 812 Competizione A (Aperta) is the convertible variant of this high-performance model. Like the coupe, the 812 Competizione A is powered by a 6.5-liter V12 engine producing 819 horsepower. The retractable roof allows drivers to experience the full symphony of the V12 engine while enjoying the open air. Despite the open-top design, the 812 Competizione A retains the same aerodynamic enhancements and advanced electronic systems as the coupe, ensuring that it delivers the same level of performance and handling. This model is a limited edition, aimed at collectors and enthusiasts who want the ultimate Ferrari V12 experience with the freedom of open-top motoring.",812_competizione_a.jpg
85,Ferrari Daytona SP3,"$3,150,000 AUD","The Ferrari Daytona SP3 is a part of Ferrari’s Icona series, inspired by the classic sports prototypes from the 1960s. It combines retro styling with modern engineering to create a unique and powerful supercar.",2.85s,V12,Coupe,1.48 tonnes,Carbon Fiber,6.5L,828hp,"The Ferrari Daytona SP3, introduced in 2021, is the latest model in Ferrari’s Icona series, which pays homage to the brand’s legendary sports prototypes from the 1960s. The Daytona SP3 is inspired by the iconic Ferrari 330 P4 and 412 P, featuring a striking design that combines retro elements with cutting-edge technology. The car is powered by a 6.5-liter V12 engine that produces 828 horsepower, making it the most powerful naturally aspirated V12 in Ferrari’s history. The Daytona SP3’s body is made entirely of carbon fiber, contributing to its lightweight construction and exceptional performance. The car’s aerodynamics are optimized for maximum downforce and stability, with features such as a large rear diffuser and active aerodynamics. The Daytona SP3 is a celebration of Ferrari’s racing heritage, offering a unique blend of past and present in a limited-edition package.",daytona_sp3.jpg
86,Ferrari Monza SP1,"$2,880,000 AUD","The Ferrari Monza SP1 is a limited-edition, single-seater speedster that combines modern technology with classic Ferrari styling. It is part of the Icona series and is designed for the ultimate driving experience.",2.9s,V12,Speedster,1.5 tonnes,Carbon Fiber,6.5L,809hp,"The Ferrari Monza SP1, introduced in 2018, is one of the first models in Ferrari’s Icona series, which takes inspiration from the brand’s iconic cars of the past. The SP1 is a single-seater speedster that pays homage to the Ferrari barchettas of the 1950s. It features a sleek, minimalist design with no roof or windshield, emphasizing the pure driving experience. The car is powered by a 6.5-liter V12 engine that produces 809 horsepower, making it one of the most powerful Ferrari road cars ever built. The Monza SP1’s lightweight carbon fiber construction and advanced aerodynamics allow it to deliver exceptional performance, with a 0-100 km/h time of just 2.9 seconds. This model is designed for Ferrari’s most dedicated enthusiasts, offering a unique blend of nostalgia and cutting-edge technology.",monza_sp1.jpg
87,Ferrari Monza SP2,"$2,880,000 AUD","The Ferrari Monza SP2 is the two-seater variant of the Monza SP1, offering the same thrilling performance and design with the added ability to share the experience with a passenger.",2.9s,V12,Speedster,1.5 tonnes,Carbon Fiber,6.5L,809hp,"The Ferrari Monza SP2, introduced alongside the SP1 in 2018, is the two-seater version of this iconic speedster. Like the SP1, the SP2 is part of Ferrari’s Icona series, which celebrates the brand’s rich history by reinterpreting classic designs with modern technology. The SP2 retains the same 6.5-liter V12 engine and performance characteristics as the SP1, delivering 809 horsepower and a 0-100 km/h time of 2.9 seconds. The key difference is the addition of a second seat, allowing drivers to share the exhilarating experience with a passenger. The Monza SP2 combines Ferrari’s legendary performance with a design that is both timeless and cutting-edge, making it a true collector’s item.",monza_sp2.jpg
88,Ferrari LaFerrari Aperta,"$6,250,000 AUD","The Ferrari LaFerrari Aperta is the open-top version of the LaFerrari, combining the same hybrid powertrain and extreme performance with the added thrill of open-air driving.",2.6s,V12 Hybrid,Convertible,1.59 tonnes,Carbon Fiber,6.3L,950hp,"The Ferrari LaFerrari Aperta was unveiled in 2016 as the convertible version of the LaFerrari, Ferrari’s flagship hypercar. The Aperta retains the same hybrid powertrain as the coupe, featuring a 6.3-liter V12 engine combined with an electric motor to produce a total of 950 horsepower. The car’s advanced hybrid technology allows it to deliver astonishing performance, with a top speed of over 350 km/h and a 0-100 km/h time of just 2.6 seconds. The LaFerrari Aperta features a removable carbon fiber roof panel, allowing drivers to enjoy the car’s performance with the wind in their hair. This model is a celebration of Ferrari’s 70th anniversary, and it was produced in extremely limited numbers, making it one of the most exclusive Ferrari models ever built.",laferrari_aperta.jpg
89,Ferrari LaFerrari,"$4,850,000 AUD",The Ferrari LaFerrari is a hybrid hypercar that represents the pinnacle of Ferrari’s engineering and design. It combines a V12 engine with an electric motor for extreme performance and efficiency.,2.6s,V12 Hybrid,Coupe,1.58 tonnes,Carbon Fiber,6.3L,950hp,"The Ferrari LaFerrari, introduced in 2013, is Ferrari’s first hybrid hypercar and the most powerful road car ever produced by the brand at the time. The LaFerrari is powered by a 6.3-liter V12 engine paired with an electric motor, producing a combined output of 950 horsepower. This hybrid powertrain allows the LaFerrari to achieve a top speed of over 350 km/h and a 0-100 km/h time of just 2.6 seconds. The car’s design is a perfect blend of form and function, with a focus on aerodynamics and lightweight construction. The LaFerrari features active aerodynamics and advanced electronics, making it one of the most technologically advanced cars ever built by Ferrari. This model is a symbol of Ferrari’s commitment to pushing the boundaries of performance and innovation, and it remains a benchmark in the world of hypercars.",laferrari.jpg
90,Ferrari Enzo Ferrari,"$3,000,000 AUD","The Ferrari Enzo Ferrari is a legendary supercar that was built to commemorate the company’s founder, Enzo Ferrari. It features a powerful V12 engine and advanced technology derived from Formula 1.",3.3s,V12,Coupe,1.48 tonnes,Carbon Fiber,6.0L,651hp,"The Ferrari Enzo Ferrari, named after the company’s founder, was introduced in 2002 as a tribute to the brand’s heritage and racing success. The Enzo is powered by a 6.0-liter V12 engine that produces 651 horsepower, allowing it to reach a top speed of 350 km/h and accelerate from 0 to 100 km/h in just 3.3 seconds. The car features advanced technology derived from Ferrari’s Formula 1 program, including carbon fiber construction, active aerodynamics, and an automated manual transmission. The Enzo’s design is focused on performance and efficiency, with a minimalist interior and a focus on driver engagement. Only 400 units were produced, making the Enzo one of the most exclusive and sought-after Ferrari models ever built. The Enzo remains a symbol of Ferrari’s dedication to engineering excellence and its commitment to producing the world’s finest supercars.",enzo_ferrari.jpg
91,Ferrari F40,"$4,400,000 AUD",The Ferrari F40 is one of the most iconic supercars ever built. It was the last car personally approved by Enzo Ferrari and was designed to celebrate Ferrari’s 40th anniversary.,3.8s,V8,Coupe,1.1 tonnes,Carbon Fiber,2.9L,471hp,"The Ferrari F40, introduced in 1987, is widely regarded as one of the greatest supercars of all time. It was the last car to be personally approved by Enzo Ferrari before his passing, and it was built to celebrate Ferrari’s 40th anniversary. The F40 is powered by a twin-turbocharged 2.9-liter V8 engine that produces 471 horsepower, allowing it to reach a top speed of 324 km/h and accelerate from 0 to 100 km/h in 3.8 seconds. The car’s design is focused on performance and weight reduction, with extensive use of carbon fiber, Kevlar, and aluminum in its construction. The F40 features a minimalist interior with no electronic aids, emphasizing the pure driving experience. Only 1,315 units were produced, making the F40 a highly sought-after collector’s item. The F40’s combination of raw power, lightweight construction, and timeless design has cemented its status as a true automotive legend.",f40.jpg
92,Ferrari F50,"$4,500,000 AUD",The Ferrari F50 is a limited-edition supercar that was built to celebrate Ferrari’s 50th anniversary. It features a Formula 1-derived V12 engine and a carbon fiber chassis.,3.7s,V12,Convertible,1.23 tonnes,Carbon Fiber,4.7L,513hp,"The Ferrari F50 was introduced in 1995 to mark Ferrari’s 50th anniversary. It was designed to be as close as possible to a road-going Formula 1 car, with a naturally aspirated 4.7-liter V12 engine derived from Ferrari’s 1990 Formula 1 car. The engine produces 513 horsepower, enabling the F50 to accelerate from 0 to 100 km/h in 3.7 seconds and reach a top speed of 325 km/h. The car’s chassis is made entirely of carbon fiber, and it features a removable hardtop that allows it to be driven as a convertible. The F50’s design is focused on performance and driver engagement, with a minimalist interior and no electronic driving aids. Only 349 units were produced, making the F50 one of the rarest and most desirable Ferrari models. The F50 is celebrated for its raw, uncompromising performance and its direct connection to Ferrari’s racing heritage.",f50.jpg
93,Ferrari GTO,"$1,800,000 AUD",The Ferrari GTO is a high-performance version of the 599 GTB Fiorano. It features a powerful V12 engine and numerous upgrades for improved performance and handling.,3.35s,V12,Coupe,1.68 tonnes,Aluminum,6.0L,670hp,"The Ferrari 599 GTO, introduced in 2010, is a high-performance version of the 599 GTB Fiorano. The GTO designation stands for “Gran Turismo Omologata,” a name that has been used on only two previous Ferrari models: the 250 GTO and the 288 GTO. The 599 GTO is powered by a 6.0-liter V12 engine that produces 670 horsepower, making it the most powerful road-going Ferrari at the time of its release. The car features numerous upgrades over the standard 599 GTB, including a lighter chassis, revised suspension, and enhanced aerodynamics. The GTO’s performance is further improved by advanced electronic systems such as Ferrari’s F1-Trac traction control and a fast-shifting F1 gearbox. The 599 GTO can accelerate from 0 to 100 km/h in just 3.35 seconds and has a top speed of over 335 km/h. This model is a tribute to Ferrari’s racing heritage, combining the performance of a race car with the usability of a road car.",gto.jpg
94,Ferrari 296 GT3,"$900,000 AUD","The Ferrari 296 GT3 is a racing version of the 296 GTB, designed for GT3 competitions. It features extensive modifications for track use, including a lightweight body and a race-tuned hybrid powertrain.",2.8s,V6 Twin Turbo Hybrid,Coupe,1.3 tonnes,Carbon Fiber,2.9L,850hp,"The Ferrari 296 GT3, introduced in 2022, is a racing version of the 296 GTB, designed specifically for GT3 class competitions. The car is powered by a race-tuned version of the 2.9-liter V6 hybrid powertrain found in the road-going 296 GTB, producing 850 horsepower. The 296 GT3 features extensive modifications for track use, including a lightweight carbon fiber body, advanced aerodynamics, and a stripped-down interior. The car’s suspension and brakes have been upgraded for racing, and it features a roll cage and other safety equipment required for GT3 racing. The 296 GT3 is a continuation of Ferrari’s long history of success in GT racing, offering teams and drivers a highly competitive and technologically advanced platform for racing at the highest levels.",296_gt3.jpg
95,1947 Ferrari 125 S,"$12,000,000 AUD",The Ferrari 125 S is the first car to bear the Ferrari name. It is powered by a V12 engine designed by Gioachino Colombo and represents the beginning of Ferrari’s legacy.,12s,V12,Sports Car,0.65 tonnes,Steel,1.5L,118hp,"The Ferrari 125 S, introduced in 1947, holds the distinction of being the first car to bear the Ferrari name. The 125 S was designed by Gioachino Colombo and featured a 1.5-liter V12 engine, which became the foundation of Ferrari’s reputation for building powerful and high-revving engines. The 125 S was built in two examples, both of which were used in competition. The car made its debut at the Piacenza Circuit, where it showed great potential but did not finish due to a mechanical issue. However, just two weeks later, the 125 S won the Grand Prix of Rome, marking the first of many victories for Ferrari. The 125 S’s success on the track helped establish Ferrari as a serious contender in the world of motorsports. The car’s combination of innovative engineering and competitive spirit laid the groundwork for Ferrari’s future success in both racing and road cars.",125_s.jpg
96,1947 Ferrari 159 S,"$13,000,000 AUD","The Ferrari 159 S is an evolution of the 125 S, featuring an enlarged V12 engine and improved performance. It was one of the early successes that helped establish Ferrari as a dominant force in motorsport.",11.5s,V12,Sports Car,0.65 tonnes,Steel,1.9L,125hp,"The Ferrari 159 S, introduced in 1947, was an evolution of the Ferrari 125 S, featuring an enlarged 1.9-liter V12 engine. The 159 S was designed to build on the success of the 125 S and further establish Ferrari’s presence in the world of motorsports. The car retained the same basic chassis and layout as the 125 S but featured a more powerful engine, which produced 125 horsepower. This increase in power allowed the 159 S to achieve better performance on the track, with a top speed of around 170 km/h. The 159 S was used in various races, including the Mille Miglia and the Targa Florio, where it demonstrated Ferrari’s growing competitiveness. The 159 S played a crucial role in Ferrari’s early history, helping to solidify the brand’s reputation for building high-performance cars and achieving success in racing.",159_s.jpg
97,1948 Ferrari 166 Inter,"$15,000,000 AUD","The Ferrari 166 Inter was Ferrari’s first road car, designed for grand touring. It was powered by a 2.0-liter V12 engine and featured elegant coachwork by various Italian designers.",10s,V12,Coupe,0.95 tonnes,Steel and Aluminum,2.0L,110hp,"The Ferrari 166 Inter, introduced in 1948, was Ferrari’s first road car, marking the brand’s transition from a purely racing-focused manufacturer to a builder of high-performance grand touring cars. The 166 Inter was based on the 166 Sport, a race car that had achieved success in events like the Mille Miglia and the 24 Hours of Le Mans. The 166 Inter was powered by a 2.0-liter V12 engine, producing 110 horsepower. The car was offered with a variety of elegant coachwork designs by Italian carrozzerias such as Touring, Vignale, and Ghia, reflecting the bespoke nature of early Ferrari road cars. The 166 Inter’s combination of performance, style, and exclusivity made it a desirable car for wealthy enthusiasts. The model’s success helped establish Ferrari’s reputation as a builder of luxurious and high-performance road cars, laying the foundation for the brand’s future.",166_inter.jpg
99,1948 Ferrari 166 Inter Sport,"$16,000,000 AUD","The Ferrari 166 Inter Sport was an evolution of the 166 Inter, designed for both road and race use. It combined the elegance of a road car with the performance of a race car, making it versatile and highly desirable.",9.5s,V12,Coupe,0.93 tonnes,Steel and Aluminum,2.0L,120hp,"The Ferrari 166 Inter Sport, introduced in 1948, was designed as a dual-purpose car, suitable for both road use and competitive racing. The model was based on the Ferrari 166 Inter, but with enhancements that made it more competitive on the track. The 166 Inter Sport featured a 2.0-liter V12 engine that produced 120 horsepower, providing a balance of power and reliability. The car was equipped with lightweight steel and aluminum bodywork, which helped to improve its performance and handling. The 166 Inter Sport was particularly successful in events like the Mille Miglia and the Targa Florio, where it demonstrated Ferrari’s ability to build cars that were both elegant and competitive. The car’s versatility and success in racing helped to solidify Ferrari’s reputation as a manufacturer of high-performance grand touring cars.",166_inter_sport.jpg
100,1948 Ferrari 166 MM,"$17,000,000 AUD","The Ferrari 166 MM, also known as the “Mille Miglia,” was designed specifically for endurance racing. It became famous for winning the 1949 Mille Miglia and the 24 Hours of Le Mans, cementing Ferrari’s legacy in motorsports.",8.5s,V12,Barchetta,0.9 tonnes,Aluminum,2.0L,140hp,"The Ferrari 166 MM, introduced in 1948, was a significant model in Ferrari’s early history, designed specifically for endurance racing. The “MM” stands for Mille Miglia, a famous Italian road race that the car was built to compete in. The 166 MM was powered by a 2.0-liter V12 engine, producing 140 horsepower, which allowed it to compete effectively in long-distance races. The car featured lightweight aluminum bodywork and a streamlined design that improved its performance. The 166 MM achieved significant success in motorsports, most notably winning the 1949 Mille Miglia and the 24 Hours of Le Mans, two of the most prestigious races in the world. These victories helped to establish Ferrari as a dominant force in motorsports and laid the foundation for the brand’s future success. The 166 MM is celebrated not only for its racing achievements but also for its role in defining Ferrari’s identity as a builder of high-performance, race-bred sports cars.",166_mm.jpg
102,1950 Ferrari 195 S,"$16,000,000 AUD","The Ferrari 195 S was a sports version of the 195 Inter, designed for competition. It featured a more powerful engine and was used in various racing events, achieving notable success.",9.5s,V12,Coupe,1.05 tonnes,Aluminum,2.3L,135hp,"The Ferrari 195 S, introduced in 1950, was the competition-oriented version of the 195 Inter, built for customers who wanted a car that could be driven both on the road and on the track. The 195 S was equipped with a 2.3-liter V12 engine, producing 135 horsepower, offering improved performance over the standard 195 Inter. The car was designed with lightweight aluminum bodywork, which helped to enhance its agility and speed. The 195 S was used in various racing events, including the Mille Miglia, where it demonstrated Ferrari’s growing competitiveness in motorsports. The car’s success on the track, combined with its elegant design, made it a popular choice among racing enthusiasts and collectors. The 195 S is a significant model in Ferrari’s history, representing the brand’s early efforts to build cars that could excel in both road and race environments.",195_s.jpg
103,1950 Ferrari 340 America,"$17,500,000 AUD","The Ferrari 340 America was a powerful grand tourer designed for the American market. It featured a large V12 engine and luxurious appointments, making it a favorite among wealthy customers.",8s,V12,Coupe,1.2 tonnes,Steel,4.1L,220hp,"The Ferrari 340 America, introduced in 1950, was designed as a high-performance grand touring car aimed at the American market. The car was powered by a 4.1-liter V12 engine that produced 220 horsepower, making it one of the most powerful road cars of its time. The 340 America was available with custom coachwork from some of Italy’s leading carrozzerias, including Vignale, Touring, and Ghia, which allowed customers to tailor the car’s design to their personal tastes. The car’s combination of power, luxury, and exclusivity made it highly desirable among wealthy buyers in the United States. The 340 America also had success in motorsports, competing in events such as the Mille Miglia and the Carrera Panamericana, where it demonstrated Ferrari’s engineering excellence and competitiveness. The 340 America is an important model in Ferrari’s history, representing the brand’s early efforts to establish a presence in the lucrative American market.",340_america.jpg
104,1951 Ferrari 212 Export,"$14,500,000 AUD","The Ferrari 212 Export was a race-bred version of the 212 Inter, designed for competition. It featured a more powerful engine and lightweight construction, making it a formidable competitor in races.",7.8s,V12,Coupe,0.95 tonnes,Aluminum,2.6L,170hp,"The Ferrari 212 Export, introduced in 1951, was the competition-oriented version of the 212 Inter, built for customers who wanted a car that could be driven both on the road and on the track. The 212 Export was powered by a 2.6-liter V12 engine that produced 170 horsepower, offering improved performance over the standard 212 Inter. The car was designed with lightweight aluminum bodywork, which helped to enhance its agility and speed. The 212 Export was used in various racing events, including the Mille Miglia, where it demonstrated Ferrari’s growing competitiveness in motorsports. The car’s success on the track, combined with its elegant design, made it a popular choice among racing enthusiasts and collectors. The 212 Export is a significant model in Ferrari’s history, representing the brand’s early efforts to build cars that could excel in both road and race environments.",212_export.jpg
105,1951 Ferrari 212 Inter,"$13,000,000 AUD",The Ferrari 212 Inter was a luxurious grand tourer designed for discerning customers. It was available with a variety of custom coachwork options and was known for its refined performance and elegance.,8.5s,V12,Coupe,1.1 tonnes,Steel,2.6L,165hp,"The Ferrari 212 Inter, introduced in 1951, was a luxurious grand tourer designed for customers who wanted a high-performance car with elegant styling and refined comfort. The 212 Inter was powered by a 2.6-liter V12 engine that produced 165 horsepower, providing a smooth and capable driving experience. The car was available with custom coachwork from some of Italy’s most prestigious carrozzerias, including Ghia, Touring, and Vignale, making each 212 Inter unique. The 212 Inter’s elegant design and luxurious interior made it a favorite among wealthy enthusiasts who valued both performance and style. The car was successful in both road use and competition, further establishing Ferrari’s reputation as a builder of high-performance, luxurious grand tourers. The 212 Inter played a crucial role in Ferrari’s early success and helped to define the brand’s identity in the years to come.",212_inter.jpg
106,1951 Ferrari 342 America,"$20,000,000 AUD",The Ferrari 342 America was a luxurious grand touring car designed for the American market. It featured a powerful V12 engine and was known for its exclusivity and bespoke coachwork.,9s,V12,Coupe,1.3 tonnes,Steel and Aluminum,4.1L,200hp,"The Ferrari 342 America, introduced in 1951, was designed as an exclusive grand touring car aimed at the American market. The car was powered by a 4.1-liter V12 engine that produced 200 horsepower, providing smooth and powerful performance. The 342 America was available with custom coachwork from some of Italy’s leading carrozzerias, including Pininfarina, Ghia, and Vignale, which allowed customers to tailor the car’s design to their personal tastes. The car’s combination of power, luxury, and exclusivity made it highly desirable among wealthy buyers in the United States. The 342 America was produced in very limited numbers, adding to its exclusivity and appeal among collectors. The model is significant for its role in establishing Ferrari’s presence in the American market and for its contribution to the brand’s reputation as a builder of high-performance, luxurious grand tourers.",342_america.jpg
